"","db","Released.Info","Actual","Open","High","Low","Close","CC_Delta","CL_Delta","HC_Delta"
"98","AiG Perf of Construction Index",2018-05-09 23:00:00,"55.4",1.1864,1.1897,1.1823,1.1851,63.9999999999996,-8.00000000000134,95.0000000000006
"99","AiG Perf of Construction Index",2018-05-08 23:00:00,"55.4",1.1922,1.1939,1.1838,1.1864,-12.9999999999986,-40.9999999999999,33.0000000000008
"100","AiG Perf of Construction Index",2018-05-07 23:00:00,"55.4",1.1954,1.1978,1.1898,1.1922,-58.0000000000003,-83.9999999999996,17.0000000000003
"101","AiG Perf of Construction Index",2018-05-04 23:00:00,"57.2",1.1988,1.1996,1.1911,1.196,-38.0000000000003,-61.9999999999998,18.0000000000002
"102","AiG Perf of Construction Index",2018-05-03 23:00:00,"57.2",1.1951,1.2009,1.1948,1.1988,-28.0000000000014,-77.0000000000004,7.99999999999912
"103","AiG Perf of Construction Index",2018-05-02 23:00:00,"57.2",1.1992,1.2032,1.1938,1.1951,37.0000000000004,-2.99999999999967,58.0000000000003
"104","AiG Perf of Construction Index",2018-05-01 23:00:00,"57.2",1.2078,1.2084,1.1982,1.1993,-41.9999999999998,-55.0000000000006,39.0000000000001
"105","AiG Perf of Construction Index",2018-04-30 23:00:00,"57.2",1.2121,1.2139,1.2064,1.2078,-84.9999999999995,-96.0000000000005,5.99999999999934
"106","AiG Perf of Construction Index",2018-04-27 23:00:00,"57.2",1.2103,1.2133,1.2056,1.213,-52.0000000000009,-66.0000000000016,8.99999999999901
"107","AiG Perf of Construction Index",2018-04-26 23:00:00,"57.2",1.2161,1.221,1.2096,1.2103,27.0000000000015,-46.9999999999993,30.0000000000011
"108","AiG Perf of Construction Index",2018-04-25 23:00:00,"57.2",1.2232,1.2239,1.216,1.2161,-58.0000000000003,-64.9999999999995,49.0000000000013
"109","AiG Perf of Construction Index",2018-04-24 23:00:00,"57.2",1.2209,1.2245,1.2182,1.2233,-72.000000000001,-73.0000000000008,5.99999999999934
"110","AiG Perf of Construction Index",2018-04-23 23:00:00,"57.2",1.2289,1.2293,1.2198,1.2209,23.9999999999996,-27.0000000000015,35.9999999999983
"111","AiG Perf of Construction Index",2018-04-20 23:00:00,"57.2",1.2345,1.2353,1.225,1.2288,-78.999999999998,-89.999999999999,5.00000000000167
"112","AiG Perf of Construction Index",2018-04-19 23:00:00,"57.2",1.2374,1.24,1.2329,1.2345,-57.0000000000004,-94.9999999999984,8.00000000000134
"113","AiG Perf of Construction Index",2018-04-18 23:00:00,"57.2",1.237,1.2397,1.2342,1.2374,-29.0000000000012,-44.9999999999995,25.9999999999994
"114","AiG Perf of Construction Index",2018-04-17 23:00:00,"57.2",1.238,1.2414,1.2336,1.237,3.99999999999956,-28.0000000000014,26.9999999999992
"115","AiG Perf of Construction Index",2018-04-16 23:00:00,"57.2",1.2322,1.2395,1.2322,1.238,-9.9999999999989,-43.9999999999996,34.0000000000007
"116","AiG Perf of Construction Index",2018-04-13 23:00:00,"57.2",1.2326,1.2346,1.2307,1.2331,48.999999999999,-9.00000000000123,63.9999999999996
"117","AiG Perf of Construction Index",2018-04-12 23:00:00,"57.2",1.2367,1.238,1.23,1.2327,4.00000000000178,-20,19.0000000000001
"118","AiG Perf of Construction Index",2018-04-11 23:00:00,"57.2",1.2356,1.2396,1.2347,1.2367,-40,-66.9999999999993,13.0000000000008
"119","AiG Perf of Construction Index",2018-04-10 23:00:00,"57.2",1.2321,1.2378,1.2303,1.2356,10.9999999999988,-9.00000000000123,40
"120","AiG Perf of Construction Index",2018-04-09 23:00:00,"57.2",1.2279,1.233,1.2261,1.2321,35.0000000000006,-18.0000000000002,57.0000000000004
"121","AiG Perf of Construction Index",2018-04-06 23:00:00,"56",1.224,1.2291,1.2215,1.2281,40,-20,49.0000000000013
"122","AiG Perf of Construction Index",2018-04-05 23:00:00,"56",1.2278,1.229,1.2218,1.224,40.9999999999999,-24.9999999999995,51.000000000001
"123","AiG Perf of Construction Index",2018-04-04 23:00:00,"56",1.2271,1.2315,1.2257,1.2278,-38.0000000000003,-60.0000000000001,12.0000000000009
"124","AiG Perf of Construction Index",2018-04-03 23:00:00,"56",1.2302,1.2336,1.2254,1.227,7.99999999999912,-13.0000000000008,44.9999999999995
"125","AiG Perf of Construction Index",2018-04-02 23:00:00,"56",1.2322,1.2345,1.2282,1.2302,-31.9999999999987,-47.9999999999992,34.0000000000007
"126","AiG Perf of Construction Index",2018-03-30 23:00:00,"56",1.23,1.2331,1.2293,1.2324,-21.9999999999998,-41.9999999999998,20.9999999999999
"127","AiG Perf of Construction Index",2018-03-29 23:00:00,"56",1.2308,1.2335,1.2284,1.23,23.9999999999996,-6.99999999999923,31.000000000001
